指标,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度
国内生产总值指数(上年同期=100)当季值,104.9,103.2,93.2,106.0,106.0,106.2,106.4,106.5,106.7,106.9,106.9,106.8,106.9,107.0,107.0,106.9,106.8,106.8
国内生产总值指数(上年同期=100)累计值,100.7,98.4,93.2,106.1,106.2,106.3,106.4,106.7,106.8,106.9,106.9,106.9,107.0,107.0,107.0,106.8,106.8,106.9
第一产业增加值指数(上年同期=100)当季值,103.9,103.3,96.8,103.4,102.7,103.3,102.7,103.5,103.6,103.4,103.2,104.4,103.9,103.8,103.0,102.9,104.0,103.1
第一产业增加值指数(上年同期=100)累计值,102.3,100.9,96.8,103.1,102.9,103.0,102.7,103.5,103.4,103.3,103.2,104.0,103.7,103.5,103.0,103.3,103.5,103.0
第二产业增加值指数(上年同期=100)当季值,106.0,104.7,90.4,105.8,105.2,105.6,106.1,105.8,105.3,105.9,106.2,105.4,105.8,106.2,106.1,106.0,106.1,106.2
第二产业增加值指数(上年同期=100)累计值,100.9,98.1,90.4,105.7,105.6,105.8,106.1,105.8,105.8,106.1,106.2,105.9,106.0,106.2,106.1,106.0,106.0,106.0
第三产业增加值指数(上年同期=100)当季值,104.3,101.9,94.8,106.6,107.1,107.0,107.0,107.8,108.3,108.1,107.8,108.6,108.4,108.1,108.0,108.5,108.0,107.9
第三产业增加值指数(上年同期=100)累计值,100.4,98.4,94.8,106.9,107.0,107.0,107.0,108.0,108.1,107.9,107.8,108.3,108.2,108.0,108.0,108.1,108.0,107.9
农林牧渔业增加值指数(上年同期=100)当季值,104.0,103.4,97.2,103.5,102.9,103.4,102.9,103.7,103.8,103.6,103.4,104.5,104.0,103.9,103.2,103.1,104.1,103.3
农林牧渔业增加值指数(上年同期=100)累计值,102.4,101.1,97.2,103.2,103.1,103.2,102.9,103.6,103.6,103.5,103.4,104.1,103.8,103.7,103.2,103.5,103.6,103.2
工业增加值指数(上年同期=100)当季值,105.6,104.1,91.5,105.9,105.0,105.6,106.1,105.7,105.9,106.4,106.4,106.1,106.2,106.4,106.2,105.8,105.8,105.7
工业增加值指数(上年同期=100)累计值,100.7,98.2,91.5,105.7,105.6,105.8,106.1,106.1,106.2,106.4,106.4,106.2,106.3,106.3,106.2,105.7,105.6,105.5
制造业增加值指数(上年同期=100)当季值,106.1,104.4,89.8,105.9,104.8,105.5,106.5,105.6,105.9,106.5,106.5,106.4,106.5,106.7,106.5,105.8,105.9,106.1
制造业增加值指数(上年同期=100)累计值,100.5,97.5,89.8,105.7,105.6,106.0,106.5,106.1,106.3,106.5,106.5,106.5,106.6,106.6,106.5,105.9,105.9,105.8
建筑业增加值指数(上年同期=100)当季值,108.1,107.8,82.5,105.3,106.1,105.1,106.2,106.4,102.9,104.4,105.6,102.9,103.7,105.0,104.8,107.0,107.2,108.5
建筑业增加值指数(上年同期=100)累计值,102.0,98.1,82.5,105.6,105.8,105.5,106.2,104.8,104.1,104.8,105.6,103.9,104.4,104.9,104.8,107.7,108.0,108.6
批发和零售业增加值指数(上年同期=100)当季值,103.1,101.2,82.2,105.4,105.5,106.0,105.8,105.9,106.7,107.1,107.2,107.6,107.8,107.8,108.1,108.2,108.0,107.6
批发和零售业增加值指数(上年同期=100)累计值,95.8,91.9,82.2,105.7,105.8,105.9,105.8,106.7,107.0,107.1,107.2,107.8,107.9,107.9,108.1,107.7,107.5,107.1
交通运输、仓储和邮政业增加值指数(上年同期=100)当季值,103.9,101.7,86.0,106.3,107.5,107.3,107.3,108.8,108.3,108.1,107.7,109.1,109.7,110.1,109.3,110.1,107.2,106.1
交通运输、仓储和邮政业增加值指数(上年同期=100)累计值,97.8,94.4,86.0,107.1,107.4,107.3,107.3,108.3,108.1,108.0,107.7,109.6,109.7,109.7,109.3,106.9,105.7,104.9
住宿和餐饮业增加值指数(上年同期=100)当季值,94.9,82.0,64.7,106.2,106.7,106.4,106.0,106.1,106.5,107.0,107.3,108.1,108.2,108.1,108.4,108.1,107.3,107.6
住宿和餐饮业增加值指数(上年同期=100)累计值,80.9,73.2,64.7,106.3,106.4,106.2,106.0,106.7,106.9,107.2,107.3,108.2,108.2,108.2,108.4,107.7,107.6,107.7
金融业增加值指数(上年同期=100)当季值,107.9,107.2,106.0,107.0,106.9,107.6,107.1,106.2,105.2,105.2,102.6,104.4,105.9,103.7,105.0,102.6,104.7,104.5
金融业增加值指数(上年同期=100)累计值,107.0,106.6,106.0,107.2,107.2,107.4,107.1,104.8,104.3,103.9,102.6,104.8,104.9,104.4,105.0,104.8,105.5,105.9
房地产业增加值指数(上年同期=100)当季值,106.3,104.1,93.9,102.5,104.2,102.5,102.6,101.8,103.8,104.0,104.6,106.1,105.1,107.7,109.2,107.8,109.1,108.9
房地产业增加值指数(上年同期=100)累计值,101.6,99.1,93.9,103.0,103.1,102.6,102.6,103.5,104.1,104.3,104.6,107.0,107.3,108.4,109.2,108.8,109.2,109.2
信息传输、软件和信息技术服务业增加值指数(上年同期=100)当季值,118.8,115.7,113.2,115.6,118.1,120.1,121.2,126.2,129.6,128.9,126.8,126.9,122.0,117.9,115.5,118.2,117.8,115.4
信息传输、软件和信息技术服务业增加值指数(上年同期=100)累计值,115.9,114.5,113.2,118.7,119.8,120.6,121.2,127.8,128.4,127.8,126.8,120.5,118.3,116.7,115.5,116.9,116.4,115.8
租赁和商务服务业增加值指数(上年同期=100)当季值,93.1,92.0,90.6,109.9,108.6,107.5,108.5,109.4,111.1,111.4,112.1,112.9,112.9,110.4,111.3,116.0,111.5,112.8
租赁和商务服务业增加值指数(上年同期=100)累计值,91.9,91.3,90.6,108.7,108.2,108.0,108.5,110.9,111.5,111.8,112.1,112.0,111.6,110.9,111.3,113.0,111.9,112.2
其他行业增加值指数(上年同期=100)当季值,102.3,99.1,98.2,106.0,106.4,105.7,105.5,107.9,108.1,107.0,107.3,108.1,108.2,108.0,107.1,108.6,107.5,107.9
其他行业增加值指数(上年同期=100)累计值,99.9,98.6,98.2,105.9,105.8,105.6,105.5,107.6,107.5,107.1,107.3,107.8,107.7,107.5,107.1,108.0,107.8,107.9
