currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,seriousCount,updateTime
1676,95167,4049,88730,4761,196,2020/12/15 10:17
1658,95064,4035,88648,4758,197,2020/12/14 9:30
1648,94950,4021,88546,4756,195,2020/12/13 11:09
1683,94849,4002,88411,4755,196,2020/12/12 10:20
1696,94749,3989,88298,4755,200,2020/12/11 9:58
1695,94618,3980,88168,4755,201,2020/12/10 10:29
1680,94500,3969,88067,4753,210,2020/12/9 9:57
1570,94160,3936,87837,4753,234,2020/12/6 8:59
1508,94038,3919,87777,4753,249,2020/12/5 9:01
1433,93905,3904,87720,4752,249,2020/12/4 9:56
1369,93797,3889,87677,4751,254,2020/12/3 8:56
1297,93668,3873,87621,4750,259,2020/12/2 10:23
1241,93577,3866,87586,4750,264,2020/12/1 8:22
1145,93465,3858,87570,4750,281,2020/11/30 9:54
1051,93329,3843,87528,4750,279,2020/11/29 8:51
980,93225,3832,87496,4749,288,2020/11/28 9:59
905,93113,3826,87459,4749,308,2020/11/27 11:28
832,93025,3821,87444,4749,321,2020/11/26 9:34
766,92914,3809,87399,4749,335,2020/11/25 10:04
710,92829,3804,87370,4749,348,2020/11/24 10:01
638,92733,3784,87346,4749,357,2020/11/23 10:03
578,92648,3775,87321,4749,365,2020/11/22 10:05
536,92588,3761,87303,4749,378,2020/11/21 10:02
518,92544,3752,87277,4749,373,2020/11/20 10:02
521,92511,3723,87241,4749,456,2020/11/19 10:03
533,92490,3723,87208,4749,456,2020/11/18 10:04
573,92476,3716,87154,4749,512,2020/11/17 10:02
589,92452,3701,87114,4749,548,2020/11/16 10:05
592,92428,3693,87087,4749,613,2020/11/15 10:02
596,92404,3680,87059,4749,648,2020/11/14 10:03
596,92372,3662,87027,4749,697,2020/11/13 10:01
602,92336,3654,86985,4749,728,2020/11/12 10:08
595,92299,3640,86955,4749,776,2020/11/11 10:12
598,92271,3624,86925,4748,786,2020/11/10 10:01
593,92242,3603,86901,4748,804,2020/11/9 10:01
571,92195,3571,86876,4748,824,2020/11/8 10:01
585,92164,3543,86831,4748,823,2020/11/7 10:02
580,92121,3510,86793,4748,832,2020/11/6 10:01
564,92077,3480,86766,4747,825,2020/11/5 10:01
562,92045,3460,86737,4746,828,2020/11/4 10:02
557,92015,3445,86712,4746,725,2020/11/3 10:01
525,91955,3401,86684,4746,684,2020/11/2 10:01
521,91921,3380,86654,4746,666,2020/11/1 10:02
521,91893,3359,86626,4746,611,2020/10/31 10:01
507,91852,3332,86599,4746,592,2020/10/30 10:04
515,91821,3308,86560,4746,543,2020/10/29 10:05
489,91772,3284,86537,4746,570,2020/10/28 10:03
453,91725,3264,86526,4746,570,2020/10/27 10:02
449,91701,3248,86506,4746,539,2020/10/26 10:01
456,91661,3213,86459,4746,404,2020/10/25 10:01
462,91656,3213,86448,4746,404,2020/10/24 10:02
448,91621,3185,86427,4746,403,2020/10/23 9:47
447,91588,3167,86395,4746,406,2020/10/22 10:01
448,91565,3153,86371,4746,403,2020/10/21 10:01
467,91546,3142,86333,4746,403,2020/10/20 10:03
449,91507,3123,86312,4746,401,2020/10/19 10:06
458,91490,3110,86286,4746,389,2020/10/18 10:06
460,91460,3097,86254,4746,374,2020/10/17 10:02
451,91436,3084,86239,4746,376,2020/10/16 10:00
436,91399,3060,86217,4746,385,2020/10/15 10:01
440,91388,3050,86202,4746,381,2020/10/14 10:01
428,91359,3036,86185,4746,386,2020/10/13 10:01
420,91333,3029,86167,4746,395,2020/10/12 10:02
406,91305,3008,86153,4746,381,2020/10/11 10:01
396,91278,2987,86136,4746,380,2020/10/10 10:01
402,91252,2972,86104,4746,357,2020/10/9 10:01
383,91212,2951,86083,4746,366,2020/10/8 8:16
386,91188,2940,86056,4746,376,2020/10/7 10:02
395,91171,2933,86030,4746,375,2020/10/6 10:02
381,91146,2921,86019,4746,369,2020/10/5 10:02
375,91121,2901,86000,4746,366,2020/10/4 10:03
371,91101,2885,85984,4746,364,2020/10/3 10:02
368,91082,2875,85968,4746,377,2020/10/2 10:01
365,91061,2865,85950,4746,363,2020/10/1 10:03
382,91041,2854,85913,4746,375,2020/9/30 10:04
388,91018,2835,85884,4746,376,2020/9/29 10:02
382,90993,2823,85865,4746,367,2020/9/28 10:02
376,90966,2802,85844,4746,391,2020/9/27 10:02
378,90951,2788,85827,4746,400,2020/9/26 10:02
382,90933,2773,85806,4745,398,2020/9/25 10:03
385,90918,2765,85788,4745,402,2020/9/24 10:02
405,90908,2758,85759,4744,385,2020/9/23 10:03
407,90890,2748,85739,4744,391,2020/9/22 10:03
411,90876,2742,85721,4744,397,2020/9/21 10:01
386,90840,2730,85710,4744,382,2020/9/20 10:03
386,90814,2720,85684,4744,374,2020/9/19 10:03
392,90797,2706,85662,4743,366,2020/9/18 10:02
376,90753,2674,85634,4743,354,2020/9/17 10:02
386,90734,2665,85605,4743,361,2020/9/16 10:02
393,90718,2653,85583,4742,361,2020/9/15 10:01
393,90695,2635,85561,4741,357,2020/9/14 10:01
392,90666,2635,85533,4741,357,2020/9/13 10:01
398,90643,2625,85505,4740,299,2020/9/12 10:02
403,90623,2619,85480,4740,311,2020/9/11 10:01
419,90595,2604,85436,4740,301,2020/9/10 10:02
431,90582,2597,85411,4740,308,2020/9/9 10:02
454,90573,2595,85380,4739,324,2020/9/8 10:02
464,90551,2585,85350,4737,329,2020/9/7 10:01
468,90517,2573,85314,4735,329,2020/9/6 10:01
506,90498,2563,85257,4735,338,2020/9/5 10:02
532,90475,2528,85208,4735,349,2020/9/4 10:03
539,90442,2528,85169,4734,349,2020/9/3 10:06
589,90414,2509,85094,4731,356,2020/9/2 8:08
614,90402,2509,85058,4730,356,2020/9/1 10:01
646,90383,2499,85008,4729,340,2020/8/31 10:01
675,90351,2482,84948,4728,338,2020/8/30 10:01
715,90323,2473,84883,4725,351,2020/8/29 10:01
780,90301,2464,84799,4722,358,2020/8/28 10:02
836,90271,2455,84715,4720,365,2020/8/27 10:02
894,90239,2447,84626,4719,365,2020/8/26 10:02
971,90205,2432,84516,4718,374,2020/8/25 10:02
1019,90183,2418,84446,4718,374,2020/8/24 10:03
1052,90141,2402,84372,4717,370,2020/8/23 10:02
1133,90103,2390,84254,4716,366,2020/8/22 10:01
1273,90013,2346,84027,4713,352,2020/8/20 10:01
1410,89980,2339,83858,4712,345,2020/8/19 10:02
1479,89926,2322,83737,4710,356,2020/8/18 10:03
1501,89859,2300,83648,4710,351,2020/8/17 10:01
1492,89761,2278,83559,4710,319,2020/8/16 10:02
1580,89695,2263,83407,4708,318,2020/8/15 10:02
1664,89625,2249,83254,4707,309,2020/8/14 10:01
1739,89526,2227,83083,4704,295,2020/8/13 10:02
1856,89444,2216,82888,4700,288,2020/8/12 10:01
1999,89383,2200,82688,4696,285,2020/8/11 10:03
2011,89270,2169,82566,4693,283,2020/8/10 10:01
2051,89149,2134,82410,4688,270,2020/8/9 10:02
2139,89057,2126,82230,4688,271,2020/8/8 10:02
2217,88937,2120,82033,4687,273,2020/8/7 10:01
2262,88804,2110,81858,4684,282,2020/8/6 10:01
2324,88682,2103,81675,4683,272,2020/8/5 10:01
2340,88573,2098,81554,4679,264,2020/8/4 10:04
2324,88459,2092,81459,4676,257,2020/8/3 10:03
2279,88301,2085,81348,4674,257,2020/8/2 10:02
2227,88122,2069,81227,4668,252,2020/8/1 10:02
2170,87956,2063,81120,4666,246,2020/7/31 10:01
1981,87680,2059,81034,4665,280,2020/7/30 10:02
1836,87457,2056,80957,4664,273,2020/7/29 10:02
1616,87177,2049,80900,4661,302,2020/7/28 2:00
1470,87028,2049,80899,4659,302,2020/7/27 10:02
1331,86839,2045,80849,4659,292,2020/7/26 12:02
1021,86361,2023,80685,4655,176,2020/7/23 10:02
921,86226,2020,80650,4655,164,2020/7/22 10:03
894,86152,2015,80605,4653,149,2020/7/21 10:02
836,86068,2012,80579,4653,154,2020/7/20 10:02
749,85937,2007,80535,4653,147,2020/7/19 14:33
656,85765,1989,80458,4651,104,2020/7/17 8:26
601,85697,1989,80445,4651,104,2020/7/16 10:03
621,85677,1988,80407,4649,110,2020/7/15 10:20
575,85568,1979,80345,4648,110,2020/7/13 10:01
560,85522,1971,80314,4648,112,2020/7/12 10:01
564,85515,1964,80303,4648,111,2020/7/11 21:56
553,85441,1958,80240,4648,112,2020/7/10 0:10
511,85399,1958,80240,4648,112,2020/7/9 10:02
526,85366,1949,80192,4648,117,2020/7/8 10:02
528,85338,1934,80162,4648,109,2020/7/7 8:29
515,85320,1934,80157,4648,109,2020/7/6 10:01
514,85306,1931,80144,4648,99,2020/7/5 10:01
522,85287,1925,80117,4648,98,2020/7/4 10:01
528,85278,1923,80102,4648,97,2020/7/3 10:01
527,85263,1920,80088,4648,99,2020/7/2 10:02
516,85232,1918,80068,4648,100,2020/7/1 10:01
525,85227,1918,80054,4648,99,2020/6/30 10:02
512,85204,1907,80044,4648,102,2020/6/29 10:01
516,85190,1902,80026,4648,106,2020/6/28 10:03
509,85172,1899,80015,4648,106,2020/6/27 10:01
493,85148,1895,80007,4648,97,2020/6/26 10:01
473,85119,1893,79999,4647,97,2020/6/25 10:01
460,85098,1888,79991,4647,100,2020/6/24 10:01
441,85070,1885,79983,4646,99,2020/6/23 10:01
403,85018,1869,79969,4646,111,2020/6/22 10:01
382,84996,1868,79968,4646,108,2020/6/21 10:01
362,84970,1868,79963,4645,108,2020/6/20 13:07
346,84940,1864,79949,4645,110,2020/6/19 10:01
314,84903,1860,79944,4645,111,2020/6/18 10:02
296,84867,1856,79926,4645,106,2020/6/17 10:01
256,84823,1845,79922,4645,110,2020/6/16 10:01
220,84778,1837,79913,4645,112,2020/6/15 10:01
178,84729,1827,79906,4645,103,2020/6/14 10:01
123,84671,1808,79903,4645,98,2020/6/13 10:02
118,84659,1803,79896,4645,104,2020/6/12 10:01
119,84652,1797,79888,4645,129,2020/6/11 10:01
113,84641,1786,79883,4645,155,2020/6/10 10:01
119,84638,1780,79874,4645,201,2020/6/9 10:01
124,84634,1780,79865,4645,201,2020/6/8 10:03
130,84629,1776,79854,4645,236,2020/6/7 10:01
127,84620,1771,79848,4645,257,2020/6/6 10:02
127,84614,1768,79842,4645,297,2020/6/5 10:01
127,84603,1763,79831,4645,326,2020/6/4 10:01
133,84604,1762,79826,4645,357,2020/6/3 10:02
128,84597,1761,79824,4645,371,2020/6/2 10:01
131,84588,1756,79812,4645,397,2020/6/1 10:01
118,84570,1740,79807,4645,389,2020/5/31 10:01
118,84565,1738,79802,4645,396,2020/5/30 10:01
111,84547,1734,79791,4645,409,2020/5/29 10:03
116,84547,1734,79786,4645,413,2020/5/28 10:01
125,84544,1732,79774,4645,404,2020/5/27 10:01
131,84543,1731,79767,4645,403,2020/5/26 10:01
134,84536,1724,79757,4645,396,2020/5/25 10:01
134,84525,1713,79746,4645,371,2020/5/24 10:01
137,84522,1711,79740,4645,370,2020/5/23 10:13
139,84520,1711,79736,4645,365,2020/5/22 12:38
145,84505,1708,79715,4645,368,2020/5/20 10:01
150,84503,1707,79708,4645,389,2020/5/19 10:02
148,84494,1704,79701,4645,448,2020/5/18 10:02
157,84484,1700,79682,4645,515,2020/5/17 10:01
166,84478,1698,79668,4644,561,2020/5/16 10:03
181,84469,1692,79644,4644,619,2020/5/15 10:01
199,84464,1692,79621,4644,712,2020/5/14 10:01
220,84458,1692,79594,4644,750,2020/5/13 10:01
241,84451,1691,79566,4644,760,2020/5/12 10:02
274,84450,1690,79533,4643,780,2020/5/11 10:02
299,84430,1683,79488,4643,794,2020/5/10 10:01
363,84416,1681,79410,4643,836,2020/5/9 16:22
448,84415,1680,79324,4643,854,2020/5/8 10:02
498,84409,1680,79268,4643,880,2020/5/7 10:01
559,84406,1678,79204,4643,903,2020/5/6 10:01
635,84404,1676,79126,4643,947,2020/5/5 10:01
741,84400,1675,79016,4643,962,2020/5/4 10:27
840,84388,1670,78905,4643,981,2020/5/2 10:01
897,84385,1670,78845,4643,981,2020/5/1 10:01
945,84373,1664,78785,4643,998,2020/4/30 10:01
997,84369,1660,78729,4643,993,2020/4/29 10:01
1040,84347,1639,78664,4643,997,2020/4/28 10:01
1140,84341,1636,78558,4643,974,2020/4/27 10:04
1246,84338,1634,78450,4642,1000,2020/4/26 10:01
1320,84324,1629,78362,4642,983,2020/4/25 10:01
1433,84311,1618,78236,4642,979,2020/4/24 10:01
1513,84302,1616,78147,4642,984,2020/4/23 10:01
1603,84287,1610,78042,4642,991,2020/4/22 10:01
1630,84250,1587,77978,4642,992,2020/4/21 10:01
1700,84237,1583,77895,4642,990,2020/4/20 10:01
1734,84201,1575,77825,4642,999,2020/4/19 10:01
1794,84180,1566,77744,4642,1017,2020/4/18 10:01
1872,83824,1549,78600,3352,1038,2020/4/17 10:01
1941,83797,1534,78504,3352,1032,2020/4/16 10:01
2004,83745,1500,78389,3352,1023,2020/4/15 10:01
2083,83696,1464,78262,3351,1005,2020/4/14 10:01
2110,83524,1280,78065,3349,1086,2020/4/13 9:09
2113,83482,1280,78020,3349,1086,2020/4/12 10:25
2085,83369,1183,77935,3349,1092,2020/4/11 10:01
2194,83249,1103,77711,3344,1104,2020/4/9 10:01
2229,83157,1042,77586,3342,1095,2020/4/8 10:01
2281,83071,983,77450,3340,1033,2020/4/7 10:01
2317,83005,951,77348,3340,1047,2020/4/6 10:01
2382,82930,913,77210,3338,1024,2020/4/5 10:01
2552,82872,870,76985,3335,1027,2020/4/4 10:01
2835,82783,841,76621,3327,1422,2020/4/3 10:01
2948,82722,806,76453,3321,1367,2020/4/2 10:01
3063,82617,771,76239,3315,528,2020/4/1 10:01
3008,82547,771,76225,3314,528,2020/3/31 10:01
3199,82447,723,75937,3311,633,2020/3/30 10:01
3435,82341,693,75600,3306,742,2020/3/29 10:02
3790,82213,649,75122,3301,921,2020/3/28 10:01
4043,82078,595,74737,3298,1034,2020/3/27 10:02
4471,81960,541,74196,3293,1235,2020/3/26 10:01
4769,81847,474,73791,3287,1399,2020/3/25 14:43
5165,81747,427,73299,3283,1573,2020/3/24 10:01
5484,81601,353,72841,3276,1749,2020/3/23 10:02
5846,81501,314,72388,3267,1845,2020/3/22 15:16
6279,81416,269,71876,3261,1963,2020/3/21 10:11
6764,81301,228,71284,3253,2136,2020/3/20 12:33
7440,81237,189,70547,3250,2314,2020/3/19 9:59
8184,81151,155,69725,3242,2622,2020/3/18 9:57
9086,81116,143,68799,3231,2830,2020/3/17 10:09
9998,81079,123,67863,3218,3032,2020/3/16 10:00
10822,81048,111,67022,3204,3226,2020/3/15 9:33
13580,81023,88,64262,3181,4020,2020/3/14 10:03
14838,80984,85,62973,3173,4257,2020/3/13 10:13
14920,80980,85,62887,3173,4257,2020/3/12 10:01
16226,80955,79,61567,3162,4492,2020/3/11 10:46
17802,80924,349,59982,3140,4794,2020/3/10 9:57
19095,80904,421,58686,3123,5111,2020/3/9 12:09
20616,80859,458,57143,3100,5264,2020/3/8 10:05
22263,80813,502,55477,3073,5489,2020/3/7 10:14
23873,80711,482,53793,3045,5737,2020/3/6 10:08
25442,80566,522,52109,3015,5952,2020/3/5 10:37
27524,80422,520,49914,2984,6416,2020/3/4 9:58
30095,80302,587,47260,2947,6806,2020/3/3 10:00
32740,80174,715,44519,2915,7110,2020/3/2 10:09
35420,79968,851,41675,2873,7365,2020/3/1 9:56
37464,79389,1418,39087,2838,7664,2020/2/29 13:08
40011,78959,2308,36157,2791,7952,2020/2/28 8:59
43352,78630,2358,32531,2747,8346,2020/2/27 10:18
45696,78190,2824,29776,2718,9126,2020/2/26 10:02
47759,77779,2824,27354,2666,9126,2020/2/25 10:12
51250,77059,4148,23363,2446,10968,2020/2/24 10:58
51688,77041,5365,22908,2445,11477,2020/2/23 10:09
53371,76392,5365,20673,2348,11477,2020/2/22 9:59
55051,75567,5206,18277,2239,11633,2020/2/21 9:56
56385,74674,5248,16168,2121,11977,2020/2/20 10:03
57885,74279,5248,14388,2006,11977,2020/2/19 10:06
58092,72528,6242,12566,1870,11741,2020/2/18 10:07
58001,70636,7264,10863,1772,10644,2020/2/17 9:59
57416,68584,8228,9502,1666,11272,2020/2/16 11:31
56951,66576,8969,8101,1524,11053,2020/2/15 10:10
55433,63922,13435,7000,1489,8030,2020/2/14 10:04
52574,59841,16067,5901,1366,8204,2020/2/13 10:04
,44720,21675,4732,1114,7333,2020/2/12 10:03
,42708,21675,4003,1017,7333,2020/2/11 10:28
,40235,23589,3283,909,6484,2020/2/10 8:20
,37251,28942,2651,812,6188,2020/2/9 10:17
,34598,27657,2052,723,6101,2020/2/8 9:33
,31211,26359,1542,637,4821,2020/2/7 11:03
,28060,24702,1153,564,3859,2020/2/6 9:03
,24363,23260,897,491,3219,2020/2/5 10:34
,20471,23214,635,425,2788,2020/2/4 9:39
,17238,21558,475,361,2296,2020/2/3 9:28
,14411,19544,333,304,,2020/2/2 10:48
,11821,17988,243,259,,2020/2/1 9:59
,9720,15238,171,213,,2020/1/31 9:50
,7736,12167,124,170,,2020/1/30 10:03
,5997,9239,104,132,,2020/1/29 10:26
,4474,5794,60,106,,2020/1/28 9:31
,2762,5794,51,80,,2020/1/27 10:05
,1975,2684,49,56,,2020/1/26 9:35
,1303,1965,38,41,,2020/1/25 9:55
,887,1075,35,26,,2020/1/24 16:29
